#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_2015        ,          ,     554.8 ,           ,       4.8400 ,       1.7900 ,       1.7900 ,             
Planck_2015        ,          ,     584.8 ,           ,      26.1300 ,       1.9600 ,       1.9600 ,             
Planck_2015        ,          ,     614.7 ,           ,      24.1400 ,       2.0900 ,       2.0900 ,             
Planck_2015        ,          ,     644.7 ,           ,      -4.5900 ,       2.1700 ,       2.1700 ,             
Planck_2015        ,          ,     674.7 ,           ,     -58.6800 ,       2.2500 ,       2.2500 ,             
Planck_2015        ,          ,     704.7 ,           ,     -98.4500 ,       2.3600 ,       2.3600 ,             
Planck_2015        ,          ,     734.7 ,           ,    -127.3700 ,       2.4400 ,       2.4400 ,             
Planck_2015        ,          ,     764.7 ,           ,    -122.1100 ,       2.4400 ,       2.4400 ,             
Planck_2015        ,          ,     794.7 ,           ,     -94.6900 ,       2.3800 ,       2.3800 ,             
Planck_2015        ,          ,     824.7 ,           ,     -46.8000 ,       2.3300 ,       2.3300 ,             
Planck_2015        ,          ,     854.7 ,           ,       5.1700 ,       2.3300 ,       2.3300 ,             
Planck_2015        ,          ,     884.7 ,           ,      44.4400 ,       2.3600 ,       2.3600 ,             
Planck_2015        ,          ,     914.7 ,           ,      60.2200 ,       2.3400 ,       2.3400 ,             
Planck_2015        ,          ,     944.7 ,           ,      46.2200 ,       2.2700 ,       2.2700 ,             
Planck_2015        ,          ,     974.7 ,           ,      13.6600 ,       2.1700 ,       2.1700 ,             
Planck_2015        ,          ,    1004.6 ,           ,     -35.1200 ,       2.2700 ,       2.2700 ,             
Planck_2015        ,          ,    1034.6 ,           ,     -58.4400 ,       2.3600 ,       2.3600 ,             
Planck_2015        ,          ,    1064.6 ,           ,     -80.0400 ,       2.4300 ,       2.4300 ,             
Planck_2015        ,          ,    1094.6 ,           ,     -70.6100 ,       2.5000 ,       2.5000 ,             
Planck_2015        ,          ,    1124.6 ,           ,     -49.6700 ,       2.5500 ,       2.5500 ,             
Planck_2015        ,          ,    1154.6 ,           ,     -24.8300 ,       2.5900 ,       2.5900 ,             
Planck_2015        ,          ,    1184.6 ,           ,      -9.1000 ,       2.5900 ,       2.5900 ,             
Planck_2015        ,          ,    1214.6 ,           ,       1.3900 ,       2.5700 ,       2.5700 ,             
Planck_2015        ,          ,    1244.6 ,           ,      -0.4200 ,       2.5400 ,       2.5400 ,             
Planck_2015        ,          ,    1274.6 ,           ,     -14.7900 ,       2.5300 ,       2.5300 ,             
Planck_2015        ,          ,    1304.6 ,           ,     -38.6700 ,       2.5700 ,       2.5700 ,             
Planck_2015        ,          ,    1334.6 ,           ,     -52.3000 ,       2.6700 ,       2.6700 ,             
Planck_2015        ,          ,    1364.6 ,           ,     -62.4100 ,       2.8100 ,       2.8100 ,             
Planck_2015        ,          ,    1394.6 ,           ,     -57.8700 ,       2.9600 ,       2.9600 ,             
Planck_2015        ,          ,    1424.6 ,           ,     -45.1000 ,       3.0800 ,       3.0800 ,             
Planck_2015        ,          ,    1454.6 ,           ,     -28.0800 ,       3.1700 ,       3.1700 ,             
Planck_2015        ,          ,    1484.6 ,           ,      -5.5300 ,       3.2100 ,       3.2100 ,             
Planck_2015        ,          ,    1514.6 ,           ,       5.4000 ,       3.2200 ,       3.2200 ,             
Planck_2015        ,          ,    1544.6 ,           ,       5.5500 ,       3.2200 ,       3.2200 ,             
Planck_2015        ,          ,    1574.6 ,           ,      -4.8700 ,       3.2400 ,       3.2400 ,             
Planck_2015        ,          ,    1604.6 ,           ,      -8.8400 ,       3.3000 ,       3.3000 ,             
Planck_2015        ,          ,    1634.6 ,           ,     -24.9900 ,       3.4300 ,       3.4300 ,             
Planck_2015        ,          ,    1664.6 ,           ,     -24.0700 ,       3.6100 ,       3.6100 ,             
Planck_2015        ,          ,    1694.6 ,           ,     -28.6200 ,       3.8400 ,       3.8400 ,             
Planck_2015        ,          ,    1724.6 ,           ,     -28.4100 ,       4.0700 ,       4.0700 ,             
Planck_2015        ,          ,    1754.6 ,           ,     -14.1100 ,       4.3100 ,       4.3100 ,             
Planck_2015        ,          ,    1784.6 ,           ,     -14.2700 ,       4.5400 ,       4.5400 ,             
Planck_2015        ,          ,    1814.6 ,           ,      -3.4300 ,       4.7600 ,       4.7600 ,             
Planck_2015        ,          ,    1844.6 ,           ,      -4.7400 ,       5.0000 ,       5.0000 ,             
Planck_2015        ,          ,    1874.6 ,           ,       2.0900 ,       5.2600 ,       5.2600 ,             
Planck_2015        ,          ,    1904.6 ,           ,     -10.3600 ,       5.5700 ,       5.5700 ,             
Planck_2015        ,          ,    1934.6 ,           ,      -2.5800 ,       5.9500 ,       5.9500 ,             
Planck_2015        ,          ,    1964.6 ,           ,     -20.2900 ,       6.3800 ,       6.3800 ,             
Planck_2015        ,          ,    1988.0 ,           ,     -29.9100 ,       9.0700 ,       9.0700 ,             
SPTpol_2015        ,          ,     521.0 ,           ,     -60.1600 ,      20.5400 ,      20.5400 ,             
SPTpol_2015        ,          ,     572.0 ,           ,       8.0900 ,      22.7800 ,      22.7800 ,             
SPTpol_2015        ,          ,     622.0 ,           ,     -23.2500 ,      27.6200 ,      27.6200 ,             
SPTpol_2015        ,          ,     672.0 ,           ,     -42.2700 ,      28.9500 ,      28.9500 ,             
SPTpol_2015        ,          ,     722.0 ,           ,    -110.6900 ,      30.0800 ,      30.0800 ,             
SPTpol_2015        ,          ,     772.0 ,           ,    -101.1000 ,      25.7600 ,      25.7600 ,             
SPTpol_2015        ,          ,     822.0 ,           ,     -71.3900 ,      20.1900 ,      20.1900 ,             
SPTpol_2015        ,          ,     872.0 ,           ,       1.9400 ,      20.5800 ,      20.5800 ,             
SPTpol_2015        ,          ,     923.0 ,           ,      61.1700 ,      20.7700 ,      20.7700 ,             
SPTpol_2015        ,          ,     973.0 ,           ,     -24.5600 ,      20.3700 ,      20.3700 ,             
SPTpol_2015        ,          ,    1023.0 ,           ,     -56.1600 ,      18.9100 ,      18.9100 ,             
SPTpol_2015        ,          ,    1073.0 ,           ,    -100.4600 ,      16.7900 ,      16.7900 ,             
SPTpol_2015        ,          ,    1123.0 ,           ,     -62.2200 ,      13.6700 ,      13.6700 ,             
SPTpol_2015        ,          ,    1173.0 ,           ,     -19.0700 ,      11.8000 ,      11.8000 ,             
SPTpol_2015        ,          ,    1223.0 ,           ,      18.6900 ,      12.1800 ,      12.1800 ,             
SPTpol_2015        ,          ,    1273.0 ,           ,     -23.5400 ,      12.7700 ,      12.7700 ,             
SPTpol_2015        ,          ,    1323.0 ,           ,     -57.3400 ,      12.1100 ,      12.1100 ,             
SPTpol_2015        ,          ,    1373.0 ,           ,     -38.7800 ,      10.9100 ,      10.9100 ,             
SPTpol_2015        ,          ,    1423.0 ,           ,     -45.7500 ,       9.1800 ,       9.1800 ,             
SPTpol_2015        ,          ,    1473.0 ,           ,      -6.1900 ,       8.0800 ,       8.0800 ,             
SPTpol_2015        ,          ,    1523.0 ,           ,      -2.3900 ,       7.8700 ,       7.8700 ,             
SPTpol_2015        ,          ,    1573.0 ,           ,       8.9200 ,       7.6900 ,       7.6900 ,             
SPTpol_2015        ,          ,    1623.0 ,           ,     -12.3300 ,       6.9300 ,       6.9300 ,             
SPTpol_2015        ,          ,    1673.0 ,           ,     -33.5200 ,       6.5900 ,       6.5900 ,             
SPTpol_2015        ,          ,    1723.0 ,           ,     -23.3300 ,       5.8800 ,       5.8800 ,             
SPTpol_2015        ,          ,    1773.0 ,           ,     -15.9800 ,       4.8600 ,       4.8600 ,             
SPTpol_2015        ,          ,    1823.0 ,           ,      -4.2300 ,       4.8200 ,       4.8200 ,             
SPTpol_2015        ,          ,    1873.0 ,           ,      -0.0100 ,       4.5500 ,       4.5500 ,             
