#Measurements of the power spectrum of the gravitational lensing potential, power is 10^7 [l(l+1)]^2 C_l^phiphi / 2pi
#Upper limits are listed for bins where the measured C_l^phiphi is zero or negative.
#They are 95% confidence limits calculated from the part of the Gaussian likelihood
#function corresponding to C_l^phiphi > 0.
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
    POLARBEAR_2014 ,     1300 ,    1400.0 ,      1500 ,       0.5996 ,       0.6470 ,       0.6470 ,             
    POLARBEAR_2014 ,     1500 ,    1600.0 ,      1700 ,      -0.2213 ,       0.8036 ,       0.8036 ,        1.830
    POLARBEAR_2014 ,     1700 ,    1800.0 ,      1900 ,       1.2840 ,       1.0543 ,       1.0543 ,             
          ACT_2013 ,       75 ,     120.0 ,       150 ,       0.9972 ,       0.3471 ,       0.3471 ,             
          ACT_2013 ,      150 ,     260.0 ,       350 ,       0.4394 ,       0.1634 ,       0.1634 ,             
          ACT_2013 ,      350 ,     460.0 ,       550 ,       0.1607 ,       0.1176 ,       0.1176 ,             
          ACT_2013 ,      550 ,     830.0 ,      1050 ,       0.1355 ,       0.0692 ,       0.0692 ,             
          ACT_2013 ,     1050 ,    1600.0 ,      2050 ,       0.0076 ,       0.1150 ,       0.1150 ,             
          SPT_2012 ,      100 ,     150.0 ,       200 ,       0.7410 ,       0.1750 ,       0.1750 ,             
          SPT_2012 ,      200 ,     250.0 ,       300 ,       0.3660 ,       0.1190 ,       0.1190 ,             
          SPT_2012 ,      300 ,     350.0 ,       400 ,       0.2910 ,       0.0980 ,       0.0980 ,             
          SPT_2012 ,      400 ,     450.0 ,       500 ,       0.0770 ,       0.0850 ,       0.0850 ,             
          SPT_2012 ,      500 ,     550.0 ,       600 ,       0.0620 ,       0.0670 ,       0.0670 ,             
          SPT_2012 ,      600 ,     650.0 ,       700 ,       0.0250 ,       0.0670 ,       0.0670 ,             
          SPT_2012 ,      700 ,     750.0 ,       800 ,       0.1060 ,       0.0540 ,       0.0540 ,             
          SPT_2012 ,      800 ,     850.0 ,       900 ,       0.0600 ,       0.0470 ,       0.0470 ,             
          SPT_2012 ,      900 ,     950.0 ,      1000 ,       0.1120 ,       0.0470 ,       0.0470 ,             
          SPT_2012 ,     1000 ,    1050.0 ,      1100 ,       0.0310 ,       0.0680 ,       0.0680 ,             
          SPT_2012 ,     1100 ,    1150.0 ,      1200 ,      -0.0090 ,       0.0640 ,       0.0640 ,        0.150
          SPT_2012 ,     1200 ,    1250.0 ,      1300 ,       0.0650 ,       0.0660 ,       0.0660 ,             
          SPT_2012 ,     1300 ,    1350.0 ,      1400 ,       0.0300 ,       0.0520 ,       0.0520 ,             
          SPT_2012 ,     1400 ,    1450.0 ,      1500 ,       0.0630 ,       0.0550 ,       0.0550 ,             
