# Theory BB lensing spectra (r=0) with Planck 2018 best-fit parameters from plikHM_TTTEEE_lowl_lowE_lensing LCDM chain
# l	l(l+1)Cl^BB/2pi [uK^2]
1331	8.911999e-02
1332	8.907963e-02
1333	8.903994e-02
1334	8.900093e-02
1335	8.896258e-02
1336	8.892488e-02
1337	8.888784e-02
1338	8.885145e-02
1339	8.881569e-02
1340	8.878056e-02
1341	8.874606e-02
1342	8.871216e-02
1343	8.867888e-02
1344	8.864619e-02
1345	8.861410e-02
1346	8.858258e-02
1347	8.855163e-02
1348	8.852125e-02
1349	8.849141e-02
1350	8.846212e-02
1351	8.843335e-02
1352	8.840511e-02
1353	8.837738e-02
1354	8.835014e-02
1355	8.832340e-02
1356	8.829713e-02
1357	8.827133e-02
1358	8.824598e-02
1359	8.822107e-02
1360	8.819660e-02
1361	8.817254e-02
1362	8.814889e-02
1363	8.812563e-02
1364	8.810276e-02
1365	8.808025e-02
1366	8.805810e-02
1367	8.803630e-02
1368	8.801483e-02
1369	8.799367e-02
1370	8.797282e-02
1371	8.795227e-02
1372	8.793199e-02
1373	8.791198e-02
1374	8.789222e-02
1375	8.787271e-02
1376	8.785341e-02
1377	8.783433e-02
1378	8.781545e-02
1379	8.779676e-02
1380	8.777823e-02
1381	8.775986e-02
1382	8.774164e-02
1383	8.772355e-02
1384	8.770557e-02
1385	8.768769e-02
1386	8.766991e-02
1387	8.765219e-02
1388	8.763454e-02
1389	8.761693e-02
1390	8.759935e-02
1391	8.758179e-02
1392	8.756424e-02
1393	8.754667e-02
1394	8.752908e-02
1395	8.751145e-02
1396	8.749377e-02
1397	8.747602e-02
1398	8.745819e-02
1399	8.744027e-02
1400	8.742223e-02
1401	8.740407e-02
1402	8.738578e-02
1403	8.736733e-02
1404	8.734872e-02
1405	8.732993e-02
1406	8.731095e-02
1407	8.729176e-02
1408	8.727236e-02
1409	8.725272e-02
1410	8.723283e-02
1411	8.721269e-02
1412	8.719227e-02
1413	8.717157e-02
1414	8.715057e-02
1415	8.712926e-02
1416	8.710762e-02
1417	8.708565e-02
1418	8.706333e-02
1419	8.704065e-02
1420	8.701760e-02
1421	8.699417e-02
1422	8.697034e-02
1423	8.694611e-02
1424	8.692146e-02
1425	8.689638e-02
1426	8.687086e-02
1427	8.684489e-02
1428	8.681846e-02
1429	8.679156e-02
1430	8.676419e-02
1431	8.673632e-02
1432	8.670796e-02
1433	8.667909e-02
1434	8.664970e-02
1435	8.661979e-02
1436	8.658934e-02
1437	8.655836e-02
1438	8.652682e-02
1439	8.649473e-02
1440	8.646208e-02
1441	8.642886e-02
1442	8.639506e-02
1443	8.636067e-02
1444	8.632570e-02
1445	8.629013e-02
1446	8.625396e-02
1447	8.621718e-02
1448	8.617979e-02
1449	8.614178e-02
1450	8.610315e-02
1451	8.606389e-02
1452	8.602401e-02
1453	8.598349e-02
1454	8.594233e-02
1455	8.590053e-02
1456	8.585809e-02
1457	8.581500e-02
1458	8.577127e-02
1459	8.572687e-02
1460	8.568183e-02
1461	8.563613e-02
1462	8.558977e-02
1463	8.554275e-02
1464	8.549508e-02
1465	8.544674e-02
1466	8.539774e-02
1467	8.534807e-02
1468	8.529775e-02
1469	8.524676e-02
1470	8.519511e-02
1471	8.514280e-02
1472	8.508983e-02
1473	8.503620e-02
1474	8.498190e-02
1475	8.492696e-02
1476	8.487135e-02
1477	8.481509e-02
1478	8.475818e-02
1479	8.470062e-02
1480	8.464241e-02
1481	8.458356e-02
1482	8.452407e-02
1483	8.446394e-02
1484	8.440317e-02
1485	8.434178e-02
1486	8.427976e-02
1487	8.421711e-02
1488	8.415385e-02
1489	8.408997e-02
1490	8.402548e-02
1491	8.396039e-02
1492	8.389470e-02
1493	8.382842e-02
1494	8.376155e-02
1495	8.369409e-02
1496	8.362607e-02
1497	8.355747e-02
1498	8.348831e-02
1499	8.341860e-02
1500	8.334833e-02
1501	8.327753e-02
1502	8.320619e-02
1503	8.313432e-02
1504	8.306194e-02
1505	8.298904e-02
1506	8.291564e-02
1507	8.284175e-02
1508	8.276738e-02
1509	8.269252e-02
1510	8.261720e-02
1511	8.254142e-02
1512	8.246519e-02
1513	8.238852e-02
1514	8.231141e-02
1515	8.223389e-02
1516	8.215596e-02
1517	8.207762e-02
1518	8.199890e-02
1519	8.191979e-02
1520	8.184031e-02
1521	8.176047e-02
1522	8.168028e-02
1523	8.159976e-02
1524	8.151890e-02
1525	8.143773e-02
1526	8.135625e-02
1527	8.127448e-02
1528	8.119242e-02
1529	8.111008e-02
1530	8.102749e-02
1531	8.094464e-02
1532	8.086155e-02
1533	8.077823e-02
1534	8.069470e-02
1535	8.061096e-02
1536	8.052702e-02
1537	8.044290e-02
1538	8.035861e-02
1539	8.027415e-02
1540	8.018955e-02
1541	8.010480e-02
1542	8.001993e-02
1543	7.993494e-02
1544	7.984985e-02
1545	7.976466e-02
1546	7.967939e-02
1547	7.959405e-02
1548	7.950864e-02
1549	7.942319e-02
1550	7.933769e-02
1551	7.925217e-02
1552	7.916663e-02
1553	7.908108e-02
1554	7.899554e-02
1555	7.891001e-02
1556	7.882451e-02
1557	7.873904e-02
1558	7.865362e-02
1559	7.856826e-02
1560	7.848296e-02
1561	7.839774e-02
1562	7.831261e-02
1563	7.822757e-02
1564	7.814264e-02
1565	7.805783e-02
1566	7.797315e-02
1567	7.788860e-02
1568	7.780420e-02
1569	7.771995e-02
1570	7.763588e-02
1571	7.755197e-02
1572	7.746825e-02
1573	7.738472e-02
1574	7.730140e-02
1575	7.721829e-02
1576	7.713539e-02
1577	7.705273e-02
1578	7.697030e-02
1579	7.688812e-02
1580	7.680620e-02
1581	7.672454e-02
1582	7.664315e-02
1583	7.656204e-02
1584	7.648121e-02
1585	7.640068e-02
1586	7.632045e-02
1587	7.624054e-02
1588	7.616094e-02
1589	7.608166e-02
1590	7.600272e-02
1591	7.592412e-02
1592	7.584586e-02
1593	7.576795e-02
1594	7.569040e-02
1595	7.561322e-02
1596	7.553640e-02
1597	7.545997e-02
1598	7.538391e-02
1599	7.530824e-02
1600	7.523297e-02
1601	7.515809e-02
1602	7.508362e-02
1603	7.500955e-02
1604	7.493590e-02
1605	7.486266e-02
1606	7.478984e-02
1607	7.471745e-02
1608	7.464548e-02
1609	7.457395e-02
1610	7.450285e-02
1611	7.443219e-02
1612	7.436197e-02
1613	7.429219e-02
1614	7.422286e-02
1615	7.415397e-02
1616	7.408554e-02
1617	7.401756e-02
1618	7.395002e-02
1619	7.388295e-02
1620	7.381633e-02
1621	7.375016e-02
1622	7.368446e-02
1623	7.361921e-02
1624	7.355442e-02
1625	7.349008e-02
1626	7.342620e-02
1627	7.336278e-02
1628	7.329982e-02
1629	7.323732e-02
1630	7.317526e-02
1631	7.311367e-02
1632	7.305252e-02
1633	7.299183e-02
1634	7.293159e-02
1635	7.287179e-02
1636	7.281244e-02
1637	7.275354e-02
1638	7.269508e-02
1639	7.263705e-02
1640	7.257947e-02
1641	7.252231e-02
1642	7.246559e-02
1643	7.240930e-02
1644	7.235343e-02
1645	7.229799e-02
1646	7.224296e-02
1647	7.218835e-02
1648	7.213415e-02
1649	7.208036e-02
1650	7.202697e-02
1651	7.197398e-02
1652	7.192139e-02
1653	7.186918e-02
1654	7.181737e-02
1655	7.176594e-02
1656	7.171488e-02
1657	7.166420e-02
1658	7.161388e-02
1659	7.156393e-02
1660	7.151434e-02
1661	7.146510e-02
1662	7.141621e-02
1663	7.136766e-02
1664	7.131945e-02
1665	7.127157e-02
1666	7.122402e-02
1667	7.117679e-02
1668	7.112987e-02
1669	7.108326e-02
1670	7.103695e-02
1671	7.099093e-02
1672	7.094521e-02
1673	7.089977e-02
1674	7.085461e-02
1675	7.080972e-02
1676	7.076509e-02
1677	7.072071e-02
1678	7.067659e-02
1679	7.063271e-02
1680	7.058907e-02
1681	7.054565e-02
1682	7.050246e-02
1683	7.045948e-02
1684	7.041671e-02
1685	7.037414e-02
1686	7.033176e-02
1687	7.028957e-02
1688	7.024755e-02
1689	7.020570e-02
1690	7.016401e-02
1691	7.012248e-02
1692	7.008110e-02
1693	7.003985e-02
1694	6.999873e-02
1695	6.995773e-02
1696	6.991685e-02
1697	6.987608e-02
1698	6.983541e-02
1699	6.979482e-02
1700	6.975432e-02
1701	6.971389e-02
1702	6.967353e-02
1703	6.963323e-02
1704	6.959298e-02
1705	6.955278e-02
1706	6.951261e-02
1707	6.947247e-02
1708	6.943234e-02
1709	6.939223e-02
1710	6.935213e-02
1711	6.931202e-02
1712	6.927190e-02
1713	6.923176e-02
1714	6.919160e-02
1715	6.915141e-02
1716	6.911117e-02
1717	6.907089e-02
1718	6.903056e-02
1719	6.899016e-02
1720	6.894970e-02
1721	6.890916e-02
1722	6.886854e-02
1723	6.882783e-02
1724	6.878703e-02
1725	6.874613e-02
1726	6.870512e-02
1727	6.866399e-02
1728	6.862275e-02
1729	6.858138e-02
1730	6.853989e-02
1731	6.849825e-02
1732	6.845647e-02
1733	6.841455e-02
1734	6.837247e-02
1735	6.833023e-02
1736	6.828782e-02
1737	6.824525e-02
1738	6.820250e-02
1739	6.815958e-02
1740	6.811646e-02
1741	6.807316e-02
1742	6.802967e-02
1743	6.798598e-02
1744	6.794208e-02
1745	6.789797e-02
1746	6.785366e-02
1747	6.780913e-02
1748	6.776438e-02
1749	6.771940e-02
1750	6.767419e-02
1751	6.762876e-02
1752	6.758309e-02
1753	6.753718e-02
1754	6.749102e-02
1755	6.744462e-02
1756	6.739797e-02
1757	6.735107e-02
1758	6.730391e-02
1759	6.725649e-02
1760	6.720881e-02
1761	6.716086e-02
1762	6.711264e-02
1763	6.706416e-02
1764	6.701540e-02
1765	6.696637e-02
1766	6.691705e-02
1767	6.686746e-02
1768	6.681759e-02
1769	6.676743e-02
1770	6.671699e-02
1771	6.666626e-02
1772	6.661524e-02
1773	6.656393e-02
1774	6.651233e-02
1775	6.646044e-02
1776	6.640825e-02
1777	6.635577e-02
1778	6.630299e-02
1779	6.624992e-02
1780	6.619655e-02
1781	6.614289e-02
1782	6.608893e-02
1783	6.603467e-02
1784	6.598012e-02
1785	6.592527e-02
1786	6.587013e-02
1787	6.581469e-02
1788	6.575896e-02
1789	6.570294e-02
1790	6.564662e-02
1791	6.559002e-02
1792	6.553313e-02
1793	6.547595e-02
1794	6.541849e-02
1795	6.536074e-02
1796	6.530271e-02
1797	6.524441e-02
1798	6.518582e-02
1799	6.512697e-02
1800	6.506784e-02
1801	6.500844e-02
1802	6.494878e-02
1803	6.488885e-02
1804	6.482866e-02
1805	6.476822e-02
1806	6.470752e-02
1807	6.464657e-02
1808	6.458537e-02
1809	6.452393e-02
1810	6.446225e-02
1811	6.440033e-02
1812	6.433818e-02
1813	6.427580e-02
1814	6.421319e-02
1815	6.415037e-02
1816	6.408732e-02
1817	6.402406e-02
1818	6.396060e-02
1819	6.389692e-02
1820	6.383305e-02
1821	6.376898e-02
1822	6.370472e-02
1823	6.364026e-02
1824	6.357563e-02
1825	6.351081e-02
1826	6.344582e-02
1827	6.338066e-02
1828	6.331533e-02
1829	6.324984e-02
1830	6.318419e-02
1831	6.311839e-02
1832	6.305244e-02
1833	6.298635e-02
1834	6.292012e-02
1835	6.285375e-02
1836	6.278725e-02
1837	6.272063e-02
1838	6.265389e-02
1839	6.258703e-02
1840	6.252007e-02
1841	6.245299e-02
1842	6.238582e-02
1843	6.231855e-02
1844	6.225119e-02
1845	6.218374e-02
1846	6.211621e-02
1847	6.204860e-02
1848	6.198093e-02
1849	6.191319e-02
1850	6.184538e-02
1851	6.177753e-02
1852	6.170962e-02
1853	6.164166e-02
1854	6.157367e-02
1855	6.150564e-02
1856	6.143759e-02
1857	6.136951e-02
1858	6.130141e-02
1859	6.123330e-02
1860	6.116518e-02
1861	6.109706e-02
1862	6.102894e-02
1863	6.096083e-02
1864	6.089273e-02
1865	6.082466e-02
1866	6.075660e-02
1867	6.068858e-02
1868	6.062060e-02
1869	6.055265e-02
1870	6.048476e-02
1871	6.041691e-02
1872	6.034912e-02
1873	6.028140e-02
1874	6.021374e-02
1875	6.014616e-02
1876	6.007865e-02
1877	6.001123e-02
1878	5.994389e-02
1879	5.987665e-02
1880	5.980950e-02
1881	5.974246e-02
1882	5.967553e-02
1883	5.960871e-02
1884	5.954200e-02
1885	5.947542e-02
1886	5.940897e-02
1887	5.934264e-02
1888	5.927645e-02
1889	5.921040e-02
1890	5.914449e-02
1891	5.907872e-02
1892	5.901311e-02
1893	5.894766e-02
1894	5.888236e-02
1895	5.881722e-02
1896	5.875225e-02
1897	5.868745e-02
1898	5.862282e-02
1899	5.855836e-02
1900	5.849409e-02
1901	5.842999e-02
1902	5.836608e-02
1903	5.830236e-02
1904	5.823883e-02
1905	5.817549e-02
1906	5.811234e-02
1907	5.804939e-02
1908	5.798664e-02
1909	5.792410e-02
1910	5.786176e-02
1911	5.779962e-02
1912	5.773770e-02
1913	5.767599e-02
1914	5.761448e-02
1915	5.755320e-02
1916	5.749213e-02
1917	5.743127e-02
1918	5.737064e-02
1919	5.731023e-02
1920	5.725004e-02
1921	5.719007e-02
1922	5.713034e-02
1923	5.707082e-02
1924	5.701154e-02
1925	5.695249e-02
1926	5.689366e-02
1927	5.683507e-02
1928	5.677671e-02
1929	5.671859e-02
1930	5.666070e-02
1931	5.660304e-02
1932	5.654562e-02
1933	5.648844e-02
1934	5.643150e-02
1935	5.637479e-02
1936	5.631832e-02
1937	5.626209e-02
1938	5.620611e-02
1939	5.615036e-02
1940	5.609485e-02
1941	5.603958e-02
1942	5.598455e-02
1943	5.592976e-02
1944	5.587521e-02
1945	5.582090e-02
1946	5.576683e-02
1947	5.571300e-02
1948	5.565941e-02
1949	5.560606e-02
1950	5.555294e-02
1951	5.550006e-02
1952	5.544741e-02
1953	5.539500e-02
1954	5.534283e-02
1955	5.529088e-02
1956	5.523917e-02
1957	5.518769e-02
1958	5.513643e-02
1959	5.508540e-02
1960	5.503460e-02
1961	5.498402e-02
1962	5.493366e-02
1963	5.488353e-02
1964	5.483360e-02
1965	5.478390e-02
1966	5.473441e-02
1967	5.468513e-02
1968	5.463605e-02
1969	5.458719e-02
1970	5.453852e-02
1971	5.449006e-02
1972	5.444180e-02
1973	5.439373e-02
1974	5.434585e-02
1975	5.429817e-02
1976	5.425067e-02
1977	5.420336e-02
1978	5.415623e-02
1979	5.410927e-02
1980	5.406249e-02
1981	5.401589e-02
1982	5.396945e-02
1983	5.392318e-02
1984	5.387707e-02
1985	5.383112e-02
1986	5.378532e-02
1987	5.373968e-02
1988	5.369419e-02
1989	5.364885e-02
1990	5.360365e-02
1991	5.355858e-02
1992	5.351366e-02
1993	5.346887e-02
1994	5.342421e-02
1995	5.337967e-02
1996	5.333526e-02
1997	5.329097e-02
1998	5.324680e-02
1999	5.320274e-02
2000	5.315879e-02
2001	5.311495e-02
2002	5.307122e-02
2003	5.302758e-02
2004	5.298404e-02
2005	5.294060e-02
2006	5.289725e-02
2007	5.285398e-02
2008	5.281080e-02
2009	5.276771e-02
2010	5.272469e-02
2011	5.268174e-02
2012	5.263887e-02
2013	5.259607e-02
2014	5.255334e-02
2015	5.251066e-02
2016	5.246805e-02
2017	5.242549e-02
2018	5.238299e-02
2019	5.234053e-02
2020	5.229812e-02
2021	5.225576e-02
2022	5.221343e-02
2023	5.217115e-02
2024	5.212889e-02
2025	5.208667e-02
2026	5.204448e-02
2027	5.200230e-02
2028	5.196015e-02
2029	5.191802e-02
2030	5.187590e-02
2031	5.183380e-02
2032	5.179170e-02
2033	5.174960e-02
2034	5.170751e-02
2035	5.166542e-02
2036	5.162332e-02
2037	5.158121e-02
2038	5.153909e-02
2039	5.149696e-02
2040	5.145481e-02
2041	5.141265e-02
2042	5.137045e-02
2043	5.132824e-02
2044	5.128599e-02
2045	5.124371e-02
2046	5.120140e-02
2047	5.115905e-02
2048	5.111665e-02
2049	5.107422e-02
2050	5.103174e-02
2051	5.098921e-02
2052	5.094663e-02
2053	5.090399e-02
2054	5.086130e-02
2055	5.081855e-02
2056	5.077574e-02
2057	5.073287e-02
2058	5.068993e-02
2059	5.064693e-02
2060	5.060386e-02
2061	5.056071e-02
2062	5.051749e-02
2063	5.047420e-02
2064	5.043083e-02
2065	5.038738e-02
2066	5.034385e-02
2067	5.030025e-02
2068	5.025655e-02
2069	5.021278e-02
2070	5.016892e-02
2071	5.012497e-02
2072	5.008094e-02
2073	5.003681e-02
2074	4.999260e-02
2075	4.994829e-02
2076	4.990390e-02
2077	4.985941e-02
2078	4.981483e-02
2079	4.977015e-02
2080	4.972538e-02
2081	4.968052e-02
2082	4.963556e-02
2083	4.959050e-02
2084	4.954535e-02
2085	4.950010e-02
2086	4.945475e-02
2087	4.940931e-02
2088	4.936377e-02
2089	4.931813e-02
2090	4.927239e-02
2091	4.922656e-02
2092	4.918062e-02
2093	4.913459e-02
2094	4.908847e-02
2095	4.904224e-02
2096	4.899591e-02
2097	4.894949e-02
2098	4.890297e-02
2099	4.885636e-02
2100	4.880964e-02
2101	4.876283e-02
2102	4.871593e-02
2103	4.866893e-02
2104	4.862183e-02
2105	4.857464e-02
2106	4.852735e-02
2107	4.847997e-02
2108	4.843249e-02
2109	4.838492e-02
2110	4.833726e-02
2111	4.828951e-02
2112	4.824167e-02
2113	4.819373e-02
2114	4.814571e-02
2115	4.809760e-02
2116	4.804940e-02
2117	4.800111e-02
2118	4.795274e-02
2119	4.790429e-02
2120	4.785575e-02
2121	4.780712e-02
2122	4.775842e-02
2123	4.770964e-02
2124	4.766077e-02
2125	4.761183e-02
2126	4.756282e-02
2127	4.751373e-02
2128	4.746457e-02
2129	4.741533e-02
2130	4.736603e-02
2131	4.731665e-02
2132	4.726721e-02
2133	4.721771e-02
2134	4.716814e-02
2135	4.711852e-02
2136	4.706883e-02
2137	4.701908e-02
2138	4.696928e-02
2139	4.691943e-02
2140	4.686952e-02
2141	4.681957e-02
2142	4.676957e-02
2143	4.671952e-02
2144	4.666943e-02
2145	4.661930e-02
2146	4.656914e-02
2147	4.651893e-02
2148	4.646869e-02
2149	4.641842e-02
2150	4.636813e-02
2151	4.631780e-02
2152	4.626745e-02
2153	4.621708e-02
2154	4.616669e-02
2155	4.611628e-02
2156	4.606585e-02
2157	4.601541e-02
2158	4.596497e-02
2159	4.591451e-02
2160	4.586405e-02
2161	4.581359e-02
2162	4.576312e-02
2163	4.571266e-02
2164	4.566220e-02
2165	4.561174e-02
2166	4.556130e-02
2167	4.551086e-02
2168	4.546044e-02
2169	4.541004e-02
2170	4.535965e-02
2171	4.530928e-02
2172	4.525893e-02
2173	4.520861e-02
2174	4.515831e-02
2175	4.510805e-02
2176	4.505781e-02
2177	4.500761e-02
2178	4.495744e-02
2179	4.490731e-02
2180	4.485722e-02
2181	4.480716e-02
2182	4.475716e-02
2183	4.470719e-02
2184	4.465728e-02
2185	4.460741e-02
2186	4.455760e-02
2187	4.450784e-02
2188	4.445813e-02
2189	4.440848e-02
2190	4.435889e-02
2191	4.430936e-02
2192	4.425990e-02
2193	4.421050e-02
2194	4.416116e-02
2195	4.411189e-02
2196	4.406270e-02
2197	4.401357e-02
2198	4.396452e-02
2199	4.391555e-02
2200	4.386665e-02
2201	4.381783e-02
2202	4.376909e-02
2203	4.372044e-02
2204	4.367187e-02
2205	4.362338e-02
2206	4.357499e-02
2207	4.352668e-02
2208	4.347846e-02
2209	4.343034e-02
2210	4.338230e-02
2211	4.333437e-02
2212	4.328653e-02
2213	4.323879e-02
2214	4.319115e-02
2215	4.314362e-02
2216	4.309618e-02
2217	4.304885e-02
2218	4.300163e-02
2219	4.295451e-02
2220	4.290751e-02
2221	4.286061e-02
2222	4.281382e-02
2223	4.276715e-02
2224	4.272059e-02
2225	4.267414e-02
2226	4.262781e-02
2227	4.258160e-02
2228	4.253551e-02
2229	4.248953e-02
2230	4.244367e-02
2231	4.239794e-02
2232	4.235233e-02
2233	4.230684e-02
2234	4.226147e-02
2235	4.221622e-02
2236	4.217111e-02
2237	4.212611e-02
2238	4.208125e-02
2239	4.203650e-02
2240	4.199189e-02
2241	4.194740e-02
2242	4.190305e-02
2243	4.185881e-02
2244	4.181471e-02
2245	4.177074e-02
2246	4.172690e-02
2247	4.168318e-02
2248	4.163959e-02
2249	4.159614e-02
2250	4.155281e-02
2251	4.150961e-02
2252	4.146654e-02
2253	4.142360e-02
2254	4.138079e-02
2255	4.133811e-02
2256	4.129556e-02
2257	4.125313e-02
2258	4.121083e-02
2259	4.116866e-02
2260	4.112662e-02
2261	4.108471e-02
2262	4.104292e-02
2263	4.100126e-02
2264	4.095972e-02
2265	4.091831e-02
2266	4.087702e-02
2267	4.083586e-02
2268	4.079482e-02
2269	4.075390e-02
2270	4.071310e-02
2271	4.067243e-02
2272	4.063188e-02
2273	4.059144e-02
2274	4.055113e-02
2275	4.051093e-02
2276	4.047085e-02
2277	4.043089e-02
2278	4.039105e-02
2279	4.035132e-02
2280	4.031171e-02
2281	4.027220e-02
2282	4.023282e-02
2283	4.019354e-02
2284	4.015437e-02
2285	4.011532e-02
2286	4.007637e-02
2287	4.003753e-02
2288	3.999880e-02
2289	3.996018e-02
2290	3.992166e-02
2291	3.988325e-02
2292	3.984493e-02
2293	3.980673e-02
2294	3.976862e-02
2295	3.973061e-02
2296	3.969270e-02
2297	3.965489e-02
2298	3.961718e-02
2299	3.957956e-02
2300	3.954204e-02
2301	3.950461e-02
2302	3.946727e-02
2303	3.943003e-02
2304	3.939287e-02
2305	3.935580e-02
2306	3.931882e-02
2307	3.928193e-02
2308	3.924512e-02
2309	3.920840e-02
2310	3.917176e-02
2311	3.913519e-02
2312	3.909871e-02
2313	3.906231e-02
2314	3.902598e-02
2315	3.898973e-02
2316	3.895355e-02
2317	3.891745e-02
2318	3.888142e-02
2319	3.884545e-02
2320	3.880956e-02
2321	3.877373e-02
2322	3.873796e-02
2323	3.870226e-02
2324	3.866663e-02
2325	3.863105e-02
2326	3.859553e-02
2327	3.856007e-02
2328	3.852466e-02
2329	3.848931e-02
2330	3.845401e-02
2331	3.841877e-02
2332	3.838357e-02
2333	3.834842e-02
2334	3.831332e-02
2335	3.827826e-02
2336	3.824324e-02
2337	3.820827e-02
2338	3.817334e-02
2339	3.813845e-02
2340	3.810359e-02
2341	3.806877e-02
2342	3.803398e-02
2343	3.799923e-02
2344	3.796451e-02
2345	3.792982e-02
2346	3.789515e-02
2347	3.786052e-02
2348	3.782591e-02
2349	3.779132e-02
2350	3.775676e-02
2351	3.772222e-02
2352	3.768771e-02
2353	3.765321e-02
2354	3.761873e-02
2355	3.758426e-02
2356	3.754982e-02
2357	3.751538e-02
2358	3.748097e-02
2359	3.744656e-02
2360	3.741217e-02
2361	3.737778e-02
2362	3.734341e-02
2363	3.730905e-02
2364	3.727469e-02
2365	3.724034e-02
2366	3.720600e-02
2367	3.717166e-02
2368	3.713733e-02
2369	3.710300e-02
2370	3.706868e-02
2371	3.703435e-02
2372	3.700003e-02
2373	3.696571e-02
2374	3.693139e-02
2375	3.689706e-02
2376	3.686274e-02
2377	3.682841e-02
2378	3.679408e-02
2379	3.675975e-02
2380	3.672542e-02
2381	3.669107e-02
2382	3.665673e-02
2383	3.662237e-02
2384	3.658801e-02
2385	3.655365e-02
2386	3.651927e-02
2387	3.648489e-02
2388	3.645049e-02
2389	3.641609e-02
2390	3.638168e-02
2391	3.634726e-02
2392	3.631282e-02
2393	3.627838e-02
2394	3.624392e-02
2395	3.620944e-02
2396	3.617496e-02
2397	3.614046e-02
2398	3.610595e-02
2399	3.607142e-02
2400	3.603688e-02
2401	3.600232e-02
2402	3.596774e-02
2403	3.593315e-02
2404	3.589854e-02
2405	3.586391e-02
2406	3.582927e-02
2407	3.579461e-02
2408	3.575993e-02
2409	3.572523e-02
2410	3.569052e-02
2411	3.565578e-02
2412	3.562103e-02
2413	3.558625e-02
2414	3.555146e-02
2415	3.551665e-02
2416	3.548182e-02
2417	3.544697e-02
2418	3.541210e-02
2419	3.537721e-02
2420	3.534230e-02
2421	3.530737e-02
2422	3.527243e-02
2423	3.523746e-02
2424	3.520248e-02
2425	3.516748e-02
2426	3.513246e-02
2427	3.509743e-02
2428	3.506238e-02
2429	3.502731e-02
2430	3.499223e-02
2431	3.495713e-02
2432	3.492201e-02
2433	3.488688e-02
2434	3.485174e-02
2435	3.481658e-02
2436	3.478142e-02
2437	3.474624e-02
2438	3.471104e-02
2439	3.467584e-02
2440	3.464063e-02
2441	3.460541e-02
2442	3.457018e-02
2443	3.453494e-02
2444	3.449969e-02
2445	3.446444e-02
2446	3.442919e-02
2447	3.439392e-02
2448	3.435866e-02
2449	3.432339e-02
2450	3.428812e-02
2451	3.425284e-02
2452	3.421757e-02
2453	3.418229e-02
2454	3.414702e-02
2455	3.411174e-02
2456	3.407647e-02
2457	3.404120e-02
2458	3.400593e-02
2459	3.397067e-02
2460	3.393541e-02
2461	3.390016e-02
2462	3.386491e-02
2463	3.382967e-02
2464	3.379443e-02
2465	3.375920e-02
2466	3.372399e-02
2467	3.368878e-02
2468	3.365358e-02
2469	3.361839e-02
2470	3.358321e-02
2471	3.354804e-02
2472	3.351289e-02
2473	3.347774e-02
2474	3.344261e-02
2475	3.340750e-02
2476	3.337240e-02
2477	3.333731e-02
2478	3.330224e-02
2479	3.326719e-02
2480	3.323215e-02
2481	3.319713e-02
2482	3.316213e-02
2483	3.312715e-02
2484	3.309219e-02
2485	3.305725e-02
2486	3.302233e-02
2487	3.298743e-02
2488	3.295256e-02
2489	3.291771e-02
2490	3.288288e-02
2491	3.284808e-02
2492	3.281331e-02
2493	3.277856e-02
2494	3.274384e-02
2495	3.270915e-02
2496	3.267449e-02
2497	3.263986e-02
2498	3.260526e-02
2499	3.257070e-02
2500	3.253616e-02
2501	3.250167e-02
2502	3.246720e-02
2503	3.243278e-02
2504	3.239839e-02
2505	3.236404e-02
2506	3.232973e-02
2507	3.229545e-02
2508	3.226122e-02
2509	3.222703e-02
2510	3.219289e-02
2511	3.215879e-02
2512	3.212473e-02
2513	3.209072e-02
2514	3.205675e-02
2515	3.202284e-02
2516	3.198897e-02
2517	3.195515e-02
2518	3.192138e-02
2519	3.188766e-02
2520	3.185399e-02
2521	3.182037e-02
2522	3.178680e-02
2523	3.175329e-02
2524	3.171984e-02
2525	3.168643e-02
2526	3.165308e-02
2527	3.161979e-02
2528	3.158655e-02
2529	3.155337e-02
2530	3.152025e-02
2531	3.148718e-02
2532	3.145417e-02
2533	3.142122e-02
2534	3.138833e-02
2535	3.135549e-02
2536	3.132272e-02
2537	3.129000e-02
2538	3.125734e-02
2539	3.122474e-02
2540	3.119220e-02
2541	3.115972e-02
2542	3.112730e-02
2543	3.109494e-02
2544	3.106264e-02
2545	3.103040e-02
2546	3.099822e-02
2547	3.096610e-02
2548	3.093404e-02
2549	3.090204e-02
2550	3.087010e-02
2551	3.083822e-02
2552	3.080641e-02
2553	3.077465e-02
2554	3.074295e-02
2555	3.071132e-02
2556	3.067975e-02
2557	3.064824e-02
2558	3.061679e-02
2559	3.058540e-02
2560	3.055407e-02
2561	3.052280e-02
2562	3.049160e-02
2563	3.046046e-02
2564	3.042938e-02
2565	3.039837e-02
2566	3.036741e-02
2567	3.033652e-02
2568	3.030569e-02
2569	3.027493e-02
2570	3.024423e-02
2571	3.021359e-02
2572	3.018301e-02
2573	3.015250e-02
2574	3.012205e-02
2575	3.009167e-02
2576	3.006135e-02
2577	3.003110e-02
2578	3.000091e-02
2579	2.997078e-02
2580	2.994072e-02
2581	2.991072e-02
2582	2.988079e-02
2583	2.985092e-02
2584	2.982112e-02
2585	2.979138e-02
2586	2.976171e-02
2587	2.973210e-02
2588	2.970255e-02
2589	2.967307e-02
2590	2.964365e-02
2591	2.961430e-02
2592	2.958501e-02
2593	2.955578e-02
2594	2.952662e-02
