#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck binned      ,          ,     554.8 ,           ,    2546.3000 ,      25.1000 ,      25.1000 ,             
Planck binned      ,          ,     584.8 ,           ,    2360.6001 ,      22.7000 ,      22.7000 ,             
Planck binned      ,          ,     614.7 ,           ,    2095.3999 ,      19.9000 ,      19.9000 ,             
Planck binned      ,          ,     644.7 ,           ,    1884.7000 ,      17.5000 ,      17.5000 ,             
Planck binned      ,          ,     674.7 ,           ,    1813.2000 ,      16.4000 ,      16.4000 ,             
Planck binned      ,          ,     704.7 ,           ,    1883.2000 ,      16.8000 ,      16.8000 ,             
Planck binned      ,          ,     734.7 ,           ,    2097.1001 ,      18.2000 ,      18.2000 ,             
Planck binned      ,          ,     764.7 ,           ,    2318.7000 ,      19.7000 ,      19.7000 ,             
Planck binned      ,          ,     794.7 ,           ,    2464.6001 ,      20.7000 ,      20.7000 ,             
Planck binned      ,          ,     824.7 ,           ,    2521.8999 ,      20.5000 ,      20.5000 ,             
Planck binned      ,          ,     854.7 ,           ,    2394.1001 ,      19.0000 ,      19.0000 ,             
Planck binned      ,          ,     884.7 ,           ,    2083.3000 ,      16.6000 ,      16.6000 ,             
Planck binned      ,          ,     914.7 ,           ,    1740.7000 ,      13.7000 ,      13.7000 ,             
Planck binned      ,          ,     944.7 ,           ,    1418.7000 ,      11.1000 ,      11.1000 ,             
Planck binned      ,          ,     974.7 ,           ,    1173.0000 ,       9.3000 ,       9.3000 ,             
Planck binned      ,          ,    1004.6 ,           ,    1062.4000 ,       8.4000 ,       8.4000 ,             
Planck binned      ,          ,    1034.6 ,           ,    1047.9000 ,       8.3000 ,       8.3000 ,             
Planck binned      ,          ,    1064.6 ,           ,    1132.4000 ,       8.7000 ,       8.7000 ,             
Planck binned      ,          ,    1094.6 ,           ,    1211.0000 ,       9.1000 ,       9.1000 ,             
Planck binned      ,          ,    1124.6 ,           ,    1231.9000 ,       9.3000 ,       9.3000 ,             
Planck binned      ,          ,    1154.6 ,           ,    1205.8000 ,       9.0000 ,       9.0000 ,             
Planck binned      ,          ,    1184.6 ,           ,    1117.9000 ,       8.3000 ,       8.3000 ,             
Planck binned      ,          ,    1214.6 ,           ,     968.4000 ,       7.5000 ,       7.5000 ,             
Planck binned      ,          ,    1244.6 ,           ,     864.4000 ,       6.6000 ,       6.6000 ,             
Planck binned      ,          ,    1274.6 ,           ,     761.6000 ,       6.0000 ,       6.0000 ,             
Planck binned      ,          ,    1304.6 ,           ,     732.3000 ,       5.7000 ,       5.7000 ,             
Planck binned      ,          ,    1334.6 ,           ,     737.3000 ,       5.7000 ,       5.7000 ,             
Planck binned      ,          ,    1364.6 ,           ,     774.9000 ,       5.9000 ,       5.9000 ,             
Planck binned      ,          ,    1394.6 ,           ,     806.6000 ,       6.2000 ,       6.2000 ,             
Planck binned      ,          ,    1424.6 ,           ,     809.1000 ,       6.3000 ,       6.3000 ,             
Planck binned      ,          ,    1454.6 ,           ,     777.8000 ,       6.1000 ,       6.1000 ,             
Planck binned      ,          ,    1484.6 ,           ,     728.9000 ,       5.7000 ,       5.7000 ,             
Planck binned      ,          ,    1514.6 ,           ,     648.3000 ,       5.2000 ,       5.2000 ,             
Planck binned      ,          ,    1544.6 ,           ,     551.3000 ,       4.7000 ,       4.7000 ,             
Planck binned      ,          ,    1574.6 ,           ,     476.6000 ,       4.3000 ,       4.3000 ,             
Planck binned      ,          ,    1604.6 ,           ,     419.5000 ,       4.0000 ,       4.0000 ,             
Planck binned      ,          ,    1634.6 ,           ,     395.2000 ,       4.0000 ,       4.0000 ,             
Planck binned      ,          ,    1664.6 ,           ,     391.7000 ,       4.0000 ,       4.0000 ,             
Planck binned      ,          ,    1694.6 ,           ,     392.9000 ,       4.2000 ,       4.2000 ,             
Planck binned      ,          ,    1724.6 ,           ,     397.7000 ,       4.3000 ,       4.3000 ,             
