Measurements of the TE power spectrum, power is [l(l+1)]^2 C_l / 2pi in uK^2
 
   Experiment            l_center     TE    sigma_TE_minus  sigma_TE_plus
Planck_2015               1304.6    -38.67        2.57          2.57
Planck_2015               1334.6    -52.30        2.67          2.67
Planck_2015               1364.6    -62.41        2.81          2.81
Planck_2015               1394.6    -57.87        2.96          2.96
Planck_2015               1424.6    -45.10        3.08          3.08
Planck_2015               1454.6    -28.08        3.17          3.17
Planck_2015               1484.6     -5.53        3.21          3.21
Planck_2015               1514.6      5.40        3.22          3.22
Planck_2015               1544.6      5.55        3.22          3.22
Planck_2015               1574.6     -4.87        3.24          3.24
Planck_2015               1604.6     -8.84        3.30          3.30
Planck_2015               1634.6    -24.99        3.43          3.43
Planck_2015               1664.6    -24.07        3.61          3.61
Planck_2015               1694.6    -28.62        3.84          3.84
Planck_2015               1724.6    -28.41        4.07          4.07
Planck_2015               1754.6    -14.11        4.31          4.31
Planck_2015               1784.6    -14.27        4.54          4.54
Planck_2015               1814.6     -3.43        4.76          4.76
Planck_2015               1844.6     -4.74        5.00          5.00
Planck_2015               1874.6      2.09        5.26          5.26
Planck_2015               1904.6    -10.36        5.57          5.57
Planck_2015               1934.6     -2.58        5.95          5.95
Planck_2015               1964.6    -20.29        6.38          6.38
Planck_2015               1988.0    -29.91        9.07          9.07
SPTpol_2015                521.0    -60.16       20.54         20.54
SPTpol_2015                572.0      8.09       22.78         22.78
SPTpol_2015                622.0    -23.25       27.62         27.62
SPTpol_2015                672.0    -42.27       28.95         28.95
SPTpol_2015                722.0   -110.69       30.08         30.08
SPTpol_2015                772.0   -101.10       25.76         25.76
SPTpol_2015                822.0    -71.39       20.19         20.19
SPTpol_2015                872.0      1.94       20.58         20.58
SPTpol_2015                923.0     61.17       20.77         20.77
SPTpol_2015                973.0    -24.56       20.37         20.37
SPTpol_2015               1023.0    -56.16       18.91         18.91
SPTpol_2015               1073.0   -100.46       16.79         16.79
SPTpol_2015               1123.0    -62.22       13.67         13.67
SPTpol_2015               1173.0    -19.07       11.80         11.80
SPTpol_2015               1223.0     18.69       12.18         12.18
SPTpol_2015               1273.0    -23.54       12.77         12.77
SPTpol_2015               1323.0    -57.34       12.11         12.11
SPTpol_2015               1373.0    -38.78       10.91         10.91
SPTpol_2015               1423.0    -45.75        9.18          9.18
SPTpol_2015               1473.0     -6.19        8.08          8.08
SPTpol_2015               1523.0     -2.39        7.87          7.87
SPTpol_2015               1573.0      8.92        7.69          7.69
SPTpol_2015               1623.0    -12.33        6.93          6.93
SPTpol_2015               1673.0    -33.52        6.59          6.59
SPTpol_2015               1723.0    -23.33        5.88          5.88
SPTpol_2015               1773.0    -15.98        4.86          4.86
SPTpol_2015               1823.0     -4.23        4.82          4.82
SPTpol_2015               1873.0     -0.01        4.55          4.55
SPTpol_2015               1923.0    -10.55        4.16          4.16
SPTpol_2015               1974.0    -14.48        3.96          3.96
SPTpol_2015               2047.0    -15.38        2.42          2.42
SPTpol_2015               2147.0     -2.70        1.97          1.97
SPTpol_2015               2247.0     -4.63        1.91          1.91
SPTpol_2015               2348.0     -8.59        1.69          1.69
SPTpol_2015               2448.0     -1.06        1.52          1.52
SPTpol_2015               2745.0     -3.07        0.55          0.55
SPTpol_2015               3246.0     -0.53        0.48          0.48
SPTpol_2015               3746.0     -0.13        0.55          0.55
SPTpol_2015               4246.0      1.05        0.69          0.69
SPTpol_2015               4747.0     -0.07        0.83          0.83
WMAP_2013                    4.5      2.65        1.12          1.12
WMAP_2013                   10.5      0.31        1.55          1.55
WMAP_2013                   17.0      2.10        1.71          1.71
WMAP_2013                   22.5     -4.20        2.65          2.65
WMAP_2013                   27.5      4.82        2.47          2.47
WMAP_2013                   33.5     -0.10        2.86          2.86
WMAP_2013                   40.5      2.57        2.87          2.87
WMAP_2013                   48.5     -3.52        3.35          3.35
WMAP_2013                   56.5      0.33        3.86          3.86
