#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_2015        ,          ,       8.0 ,           ,      -0.0200 ,       0.0890 ,       0.0890 ,             
Planck_2015        ,          ,       9.0 ,           ,       0.2750 ,       0.0990 ,       0.0990 ,             
Planck_2015        ,          ,      10.0 ,           ,      -0.1330 ,       0.1120 ,       0.1120 ,             
Planck_2015        ,          ,      11.0 ,           ,       0.1990 ,       0.1240 ,       0.1240 ,             
Planck_2015        ,          ,      12.0 ,           ,       0.1720 ,       0.1380 ,       0.1380 ,             
Planck_2015        ,          ,      13.0 ,           ,      -0.1670 ,       0.1520 ,       0.1520 ,             
Planck_2015        ,          ,      14.0 ,           ,      -0.3140 ,       0.1670 ,       0.1670 ,             
Planck_2015        ,          ,      15.0 ,           ,       0.1700 ,       0.1820 ,       0.1820 ,             
Planck_2015        ,          ,      16.0 ,           ,       0.1080 ,       0.1980 ,       0.1980 ,             
Planck_2015        ,          ,      17.0 ,           ,       0.0720 ,       0.2140 ,       0.2140 ,             
Planck_2015        ,          ,      18.0 ,           ,       0.0430 ,       0.2310 ,       0.2310 ,             
Planck_2015        ,          ,      19.0 ,           ,      -0.1540 ,       0.2490 ,       0.2490 ,             
Planck_2015        ,          ,      20.0 ,           ,       0.0760 ,       0.2660 ,       0.2660 ,             
Planck_2015        ,          ,      21.0 ,           ,       0.1560 ,       0.2860 ,       0.2860 ,             
Planck_2015        ,          ,      22.0 ,           ,      -0.1240 ,       0.3040 ,       0.3040 ,             
Planck_2015        ,          ,      23.0 ,           ,      -0.0460 ,       0.3240 ,       0.3240 ,             
Planck_2015        ,          ,      24.0 ,           ,       0.1150 ,       0.3430 ,       0.3430 ,             
Planck_2015        ,          ,      25.0 ,           ,      -0.1630 ,       0.3640 ,       0.3640 ,             
Planck_2015        ,          ,      26.0 ,           ,      -0.0150 ,       0.3840 ,       0.3840 ,             
Planck_2015        ,          ,      27.0 ,           ,      -0.0660 ,       0.4060 ,       0.4060 ,             
Planck_2015        ,          ,      28.0 ,           ,      -0.1420 ,       0.4270 ,       0.4270 ,             
Planck_2015        ,          ,      29.0 ,           ,      -0.3610 ,       0.4500 ,       0.4500 ,             
Planck_2015        ,          ,      47.7 ,           ,       0.1040 ,       0.0170 ,       0.0170 ,             
Planck_2015        ,          ,      76.5 ,           ,       0.4310 ,       0.0270 ,       0.0270 ,             
Planck_2015        ,          ,     105.9 ,           ,       0.8680 ,       0.0400 ,       0.0400 ,             
Planck_2015        ,          ,     135.6 ,           ,       1.0940 ,       0.0490 ,       0.0490 ,             
Planck_2015        ,          ,     165.4 ,           ,       1.0070 ,       0.0530 ,       0.0530 ,             
Planck_2015        ,          ,     195.3 ,           ,       0.8090 ,       0.0580 ,       0.0580 ,             
Planck_2015        ,          ,     225.2 ,           ,       1.1790 ,       0.0730 ,       0.0730 ,             
Planck_2015        ,          ,     255.1 ,           ,       2.9420 ,       0.1070 ,       0.1070 ,             
Planck_2015        ,          ,     285.0 ,           ,       6.6530 ,       0.1640 ,       0.1640 ,             
Planck_2015        ,          ,     315.0 ,           ,      11.9420 ,       0.2370 ,       0.2370 ,             
Planck_2015        ,          ,     344.9 ,           ,      17.0730 ,       0.3090 ,       0.3090 ,             
Planck_2015        ,          ,     374.9 ,           ,      20.3790 ,       0.3590 ,       0.3590 ,             
Planck_2015        ,          ,     404.9 ,           ,      21.1760 ,       0.3750 ,       0.3750 ,             
Planck_2015        ,          ,     434.8 ,           ,      18.9770 ,       0.3580 ,       0.3580 ,             
Planck_2015        ,          ,     464.8 ,           ,      14.2100 ,       0.3260 ,       0.3260 ,             
Planck_2015        ,          ,     494.8 ,           ,       9.8970 ,       0.2970 ,       0.2970 ,             
Planck_2015        ,          ,     524.8 ,           ,       6.8210 ,       0.2540 ,       0.2540 ,             
Planck_2015        ,          ,     554.8 ,           ,       9.1670 ,       0.2940 ,       0.2940 ,             
Planck_2015        ,          ,     584.8 ,           ,      15.1040 ,       0.3730 ,       0.3730 ,             
Planck_2015        ,          ,     614.7 ,           ,      24.1740 ,       0.4730 ,       0.4730 ,             
Planck_2015        ,          ,     644.7 ,           ,      31.6630 ,       0.5690 ,       0.5690 ,             
Planck_2015        ,          ,     674.7 ,           ,      36.5900 ,       0.6350 ,       0.6350 ,             
Planck_2015        ,          ,     704.7 ,           ,      37.6650 ,       0.6580 ,       0.6580 ,             
Planck_2015        ,          ,     734.7 ,           ,      30.9010 ,       0.6470 ,       0.6470 ,             
Planck_2015        ,          ,     764.7 ,           ,      24.4980 ,       0.6230 ,       0.6230 ,             
Planck_2015        ,          ,     794.7 ,           ,      17.5940 ,       0.6130 ,       0.6130 ,             
Planck_2015        ,          ,     824.7 ,           ,      12.9330 ,       0.6360 ,       0.6360 ,             
Planck_2015        ,          ,     854.7 ,           ,      14.0130 ,       0.6980 ,       0.6980 ,             
Planck_2015        ,          ,     884.7 ,           ,      21.2760 ,       0.7950 ,       0.7950 ,             
Planck_2015        ,          ,     914.7 ,           ,      27.4450 ,       0.9160 ,       0.9160 ,             
Planck_2015        ,          ,     944.7 ,           ,      37.7970 ,       1.0410 ,       1.0410 ,             
Planck_2015        ,          ,     974.7 ,           ,      40.1620 ,       1.1490 ,       1.1490 ,             
Planck_2015        ,          ,    1004.6 ,           ,      40.9970 ,       1.3850 ,       1.3850 ,             
Planck_2015        ,          ,    1034.6 ,           ,      37.7920 ,       1.5210 ,       1.5210 ,             
Planck_2015        ,          ,    1064.6 ,           ,      31.1390 ,       1.5790 ,       1.5790 ,             
Planck_2015        ,          ,    1094.6 ,           ,      20.7720 ,       1.6470 ,       1.6470 ,             
Planck_2015        ,          ,    1124.6 ,           ,      15.5500 ,       1.7400 ,       1.7400 ,             
Planck_2015        ,          ,    1154.6 ,           ,      13.5810 ,       1.8680 ,       1.8680 ,             
Planck_2015        ,          ,    1184.6 ,           ,      14.9130 ,       2.0290 ,       2.0290 ,             
Planck_2015        ,          ,    1214.6 ,           ,      21.5090 ,       2.2170 ,       2.2170 ,             
