Measurements of the EE power spectrum, power is [l(l+1)]^2 C_l / 2pi in uK^2
 
   Experiment            l_center     EE    sigma_EE_minus  sigma_EE_plus
Planck_2015               1364.6    21.715       3.282         3.282
Planck_2015               1394.6    19.015       3.520         3.520
Planck_2015               1424.6    14.194       3.788         3.788
Planck_2015               1454.6    10.987       4.092         4.092
Planck_2015               1484.6    13.084       4.435         4.435
Planck_2015               1514.6    14.768       4.819         4.819
Planck_2015               1544.6    22.205       5.239         5.239
Planck_2015               1574.6     9.440       5.693         5.693
Planck_2015               1604.6    27.029       6.180         6.180
Planck_2015               1634.6    21.388       6.700         6.700
Planck_2015               1664.6    23.952       7.260         7.260
Planck_2015               1694.6    12.803       7.867         7.867
Planck_2015               1724.6    14.488       8.531         8.531
Planck_2015               1754.6    28.433       9.261         9.261
Planck_2015               1784.6    -1.795      10.064        10.064
Planck_2015               1814.6    21.576      10.946        10.946
Planck_2015               1844.6     0.342      11.912        11.912
Planck_2015               1874.6    19.183      12.967        12.967
Planck_2015               1904.6     9.607      14.117        14.117
Planck_2015               1934.6    14.983      15.368        15.368
Planck_2015               1964.6     4.392      16.730        16.730
Planck_2015               1988.0    13.506      24.141        24.141
SPTpol_2015                521.0     8.830       1.730         1.730
SPTpol_2015                572.0     7.390       2.570         2.570
SPTpol_2015                622.0    41.010       4.440         4.440
SPTpol_2015                672.0    42.430       5.320         5.320
SPTpol_2015                722.0    32.980       4.930         4.930
SPTpol_2015                772.0    12.220       3.310         3.310
SPTpol_2015                822.0    15.110       2.300         2.300
SPTpol_2015                872.0    14.380       2.930         2.930
SPTpol_2015                923.0    37.530       4.160         4.160
SPTpol_2015                973.0    31.190       5.010         5.010
SPTpol_2015               1023.0    30.370       4.890         4.890
SPTpol_2015               1073.0    29.300       3.590         3.590
SPTpol_2015               1123.0    14.760       2.350         2.350
SPTpol_2015               1173.0    11.460       2.210         2.210
SPTpol_2015               1223.0    20.110       2.660         2.660
SPTpol_2015               1273.0    31.950       3.350         3.350
SPTpol_2015               1323.0    31.750       3.370         3.370
SPTpol_2015               1373.0    16.900       2.730         2.730
SPTpol_2015               1423.0    14.930       1.930         1.930
SPTpol_2015               1473.0     8.220       1.600         1.600
SPTpol_2015               1523.0    14.600       2.020         2.020
SPTpol_2015               1573.0    20.270       2.290         2.290
SPTpol_2015               1623.0    21.970       2.290         2.290
SPTpol_2015               1673.0    15.500       2.080         2.080
SPTpol_2015               1723.0     8.750       1.590         1.590
SPTpol_2015               1773.0     8.630       1.530         1.530
SPTpol_2015               1823.0     7.730       1.480         1.480
SPTpol_2015               1873.0     8.610       1.540         1.540
SPTpol_2015               1923.0     9.880       1.470         1.470
SPTpol_2015               1974.0    10.640       1.520         1.520
SPTpol_2015               2047.0     6.500       0.920         0.920
SPTpol_2015               2147.0     5.560       0.830         0.830
SPTpol_2015               2247.0     6.110       0.830         0.830
SPTpol_2015               2348.0     4.260       0.980         0.980
SPTpol_2015               2448.0     1.770       0.810         0.810
SPTpol_2015               2745.0     1.810       0.400         0.400
SPTpol_2015               3246.0     1.030       0.510         0.510
SPTpol_2015               3746.0     0.110       0.640         0.640
SPTpol_2015               4246.0     0.050       0.740         0.740
SPTpol_2015               4747.0     1.340       1.050         1.050
WMAP_2013                    4.5     0.008       0.022         0.022
WMAP_2013                   15.5     0.040       0.025         0.025
WMAP_2013                   36.5     0.216       0.064         0.064
WMAP_2013                   74.5     0.773       0.145         0.145
WMAP_2013                  124.5     1.453       0.346         0.346
WMAP_2013                  174.5     1.441       0.672         0.672
WMAP_2013                  224.5     1.769       1.223         1.223
WMAP_2013                  274.5     6.583       2.160         2.160
WMAP_2013                  324.5    17.831       3.673         3.673
WMAP_2013                  374.5    25.721       6.007         6.007
WMAP_2013                  424.5    24.306       9.510         9.510
WMAP_2013                  474.5    43.270      14.780        14.780
WMAP_2013                  549.5    16.086      20.548        20.548
WMAP_2013                  674.5    22.893      47.184        47.184
WMAP_2013                  824.5    76.994     136.884       136.884
WMAP_2013                  962.0  -386.712     352.521       352.521
