#Measurements of the TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck unbinned    ,          ,      25.0 ,           ,     814.3000 ,     169.4000 ,     224.3000 ,             
Planck unbinned    ,          ,      26.0 ,           ,     823.8000 ,     164.4000 ,     215.4000 ,             
Planck unbinned    ,          ,      27.0 ,           ,    1004.0000 ,     190.3000 ,     247.9000 ,             
Planck unbinned    ,          ,      28.0 ,           ,    1149.9000 ,     215.1000 ,     279.1000 ,             
Planck unbinned    ,          ,      29.0 ,           ,     979.6000 ,     183.1000 ,     236.7000 ,             
Planck binned      ,          ,      47.7 ,           ,    1479.3000 ,      50.8000 ,      50.8000 ,             
Planck binned      ,          ,      76.5 ,           ,    2035.0000 ,      54.7000 ,      54.7000 ,             
Planck binned      ,          ,     105.9 ,           ,    2955.3999 ,      65.0000 ,      65.0000 ,             
Planck binned      ,          ,     135.6 ,           ,    3869.5000 ,      76.9000 ,      76.9000 ,             
Planck binned      ,          ,     165.4 ,           ,    4889.5000 ,      86.6000 ,      86.6000 ,             
Planck binned      ,          ,     195.3 ,           ,    5464.1001 ,      90.6000 ,      90.6000 ,             
Planck binned      ,          ,     225.2 ,           ,    5793.3999 ,      87.1000 ,      87.1000 ,             
Planck binned      ,          ,     255.1 ,           ,    5372.8999 ,      76.9000 ,      76.9000 ,             
Planck binned      ,          ,     285.0 ,           ,    4627.7002 ,      62.5000 ,      62.5000 ,             
Planck binned      ,          ,     315.0 ,           ,    3604.2000 ,      47.2000 ,      47.2000 ,             
Planck binned      ,          ,     344.9 ,           ,    2631.2000 ,      33.9000 ,      33.9000 ,             
Planck binned      ,          ,     374.9 ,           ,    2033.1000 ,      24.8000 ,      24.8000 ,             
Planck binned      ,          ,     404.9 ,           ,    1753.4000 ,      20.7000 ,      20.7000 ,             
Planck binned      ,          ,     434.8 ,           ,    1787.6000 ,      20.7000 ,      20.7000 ,             
Planck binned      ,          ,     464.8 ,           ,    2162.0000 ,      22.8000 ,      22.8000 ,             
Planck binned      ,          ,     494.8 ,           ,    2422.1001 ,      25.0000 ,      25.0000 ,             
Planck binned      ,          ,     524.8 ,           ,    2573.5000 ,      25.9000 ,      25.9000 ,             
Planck binned      ,          ,     554.8 ,           ,    2546.3000 ,      25.1000 ,      25.1000 ,             
Planck binned      ,          ,     584.8 ,           ,    2360.6001 ,      22.7000 ,      22.7000 ,             
Planck binned      ,          ,     614.7 ,           ,    2095.3999 ,      19.9000 ,      19.9000 ,             
Planck binned      ,          ,     644.7 ,           ,    1884.7000 ,      17.5000 ,      17.5000 ,             
Planck binned      ,          ,     674.7 ,           ,    1813.2000 ,      16.4000 ,      16.4000 ,             
Planck binned      ,          ,     704.7 ,           ,    1883.2000 ,      16.8000 ,      16.8000 ,             
Planck binned      ,          ,     734.7 ,           ,    2097.1001 ,      18.2000 ,      18.2000 ,             
Planck binned      ,          ,     764.7 ,           ,    2318.7000 ,      19.7000 ,      19.7000 ,             
Planck binned      ,          ,     794.7 ,           ,    2464.6001 ,      20.7000 ,      20.7000 ,             
Planck binned      ,          ,     824.7 ,           ,    2521.8999 ,      20.5000 ,      20.5000 ,             
Planck binned      ,          ,     854.7 ,           ,    2394.1001 ,      19.0000 ,      19.0000 ,             
Planck binned      ,          ,     884.7 ,           ,    2083.3000 ,      16.6000 ,      16.6000 ,             
Planck binned      ,          ,     914.7 ,           ,    1740.7000 ,      13.7000 ,      13.7000 ,             
Planck binned      ,          ,     944.7 ,           ,    1418.7000 ,      11.1000 ,      11.1000 ,             
Planck binned      ,          ,     974.7 ,           ,    1173.0000 ,       9.3000 ,       9.3000 ,             
Planck binned      ,          ,    1004.6 ,           ,    1062.4000 ,       8.4000 ,       8.4000 ,             
Planck binned      ,          ,    1034.6 ,           ,    1047.9000 ,       8.3000 ,       8.3000 ,             
Planck binned      ,          ,    1064.6 ,           ,    1132.4000 ,       8.7000 ,       8.7000 ,             
Planck binned      ,          ,    1094.6 ,           ,    1211.0000 ,       9.1000 ,       9.1000 ,             
Planck binned      ,          ,    1124.6 ,           ,    1231.9000 ,       9.3000 ,       9.3000 ,             
Planck binned      ,          ,    1154.6 ,           ,    1205.8000 ,       9.0000 ,       9.0000 ,             
Planck binned      ,          ,    1184.6 ,           ,    1117.9000 ,       8.3000 ,       8.3000 ,             
Planck binned      ,          ,    1214.6 ,           ,     968.4000 ,       7.5000 ,       7.5000 ,             
Planck binned      ,          ,    1244.6 ,           ,     864.4000 ,       6.6000 ,       6.6000 ,             
Planck binned      ,          ,    1274.6 ,           ,     761.6000 ,       6.0000 ,       6.0000 ,             
Planck binned      ,          ,    1304.6 ,           ,     732.3000 ,       5.7000 ,       5.7000 ,             
Planck binned      ,          ,    1334.6 ,           ,     737.3000 ,       5.7000 ,       5.7000 ,             
Planck binned      ,          ,    1364.6 ,           ,     774.9000 ,       5.9000 ,       5.9000 ,             
Planck binned      ,          ,    1394.6 ,           ,     806.6000 ,       6.2000 ,       6.2000 ,             
Planck binned      ,          ,    1424.6 ,           ,     809.1000 ,       6.3000 ,       6.3000 ,             
Planck binned      ,          ,    1454.6 ,           ,     777.8000 ,       6.1000 ,       6.1000 ,             
Planck binned      ,          ,    1484.6 ,           ,     728.9000 ,       5.7000 ,       5.7000 ,             
Planck binned      ,          ,    1514.6 ,           ,     648.3000 ,       5.2000 ,       5.2000 ,             
Planck binned      ,          ,    1544.6 ,           ,     551.3000 ,       4.7000 ,       4.7000 ,             
Planck binned      ,          ,    1574.6 ,           ,     476.6000 ,       4.3000 ,       4.3000 ,             
Planck binned      ,          ,    1604.6 ,           ,     419.5000 ,       4.0000 ,       4.0000 ,             
Planck binned      ,          ,    1634.6 ,           ,     395.2000 ,       4.0000 ,       4.0000 ,             
Planck binned      ,          ,    1664.6 ,           ,     391.7000 ,       4.0000 ,       4.0000 ,             
Planck binned      ,          ,    1694.6 ,           ,     392.9000 ,       4.2000 ,       4.2000 ,             
Planck binned      ,          ,    1724.6 ,           ,     397.7000 ,       4.3000 ,       4.3000 ,             
Planck binned      ,          ,    1754.6 ,           ,     383.0000 ,       4.4000 ,       4.4000 ,             
Planck binned      ,          ,    1784.6 ,           ,     375.4000 ,       4.5000 ,       4.5000 ,             
Planck binned      ,          ,    1814.6 ,           ,     340.1000 ,       4.5000 ,       4.5000 ,             
Planck binned      ,          ,    1844.6 ,           ,     307.5000 ,       4.5000 ,       4.5000 ,             
Planck binned      ,          ,    1874.6 ,           ,     273.9000 ,       4.5000 ,       4.5000 ,             
Planck binned      ,          ,    1904.6 ,           ,     249.8000 ,       4.6000 ,       4.6000 ,             
Planck binned      ,          ,    1934.6 ,           ,     244.2000 ,       4.8000 ,       4.8000 ,             
Planck binned      ,          ,    1964.6 ,           ,     231.9000 ,       5.0000 ,       5.0000 ,             
Planck binned      ,          ,    1994.6 ,           ,     234.7000 ,       5.4000 ,       5.4000 ,             
Planck binned      ,          ,    2024.6 ,           ,     231.7000 ,       5.9000 ,       5.9000 ,             
Planck binned      ,          ,    2054.6 ,           ,     219.7000 ,       6.2000 ,       6.2000 ,             
Planck binned      ,          ,    2084.6 ,           ,     214.3000 ,       6.5000 ,       6.5000 ,             
Planck binned      ,          ,    2114.6 ,           ,     196.7000 ,       6.9000 ,       6.9000 ,             
Planck binned      ,          ,    2144.6 ,           ,     176.4000 ,       7.2000 ,       7.2000 ,             
Planck binned      ,          ,    2174.6 ,           ,     152.2000 ,       7.6000 ,       7.6000 ,             
Planck binned      ,          ,    2204.6 ,           ,     138.7000 ,       8.1000 ,       8.1000 ,             
Planck binned      ,          ,    2234.6 ,           ,     121.5000 ,       8.6000 ,       8.6000 ,             
Planck binned      ,          ,    2264.6 ,           ,     116.2000 ,       9.3000 ,       9.3000 ,             
