#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_COM_PowerSp ,          ,      22.0 ,           ,     600.5000 ,     120.8000 ,     162.2000 ,             
Planck_COM_PowerSp ,          ,      23.0 ,           ,     774.0000 ,     151.0000 ,     201.3000 ,             
Planck_COM_PowerSp ,          ,      24.0 ,           ,     822.6000 ,     156.2000 ,     207.0000 ,             
Planck_COM_PowerSp ,          ,      25.0 ,           ,     848.7000 ,     160.7000 ,     211.3000 ,             
Planck_COM_PowerSp ,          ,      26.0 ,           ,     903.5000 ,     166.7000 ,     217.8000 ,             
Planck_COM_PowerSp ,          ,      27.0 ,           ,     897.5000 ,     161.8000 ,     210.5000 ,             
Planck_COM_PowerSp ,          ,      28.0 ,           ,    1142.3000 ,     201.7000 ,     261.6000 ,             
Planck_COM_PowerSp ,          ,      29.0 ,           ,    1140.0000 ,     198.3000 ,     255.5000 ,             
Planck_Plik_lite   ,          ,      32.0 ,           ,    1108.7000 ,     117.7000 ,     117.7000 ,             
Planck_Plik_lite   ,          ,      37.0 ,           ,    1188.2000 ,     117.3000 ,     117.3000 ,             
Planck_Plik_lite   ,          ,      42.0 ,           ,    1437.5000 ,     118.3000 ,     118.3000 ,             
Planck_Plik_lite   ,          ,      47.0 ,           ,    1380.1000 ,     119.8000 ,     119.8000 ,             
Planck_Plik_lite   ,          ,      52.0 ,           ,    1333.3000 ,     122.2000 ,     122.2000 ,             
Planck_Plik_lite   ,          ,      57.0 ,           ,    1606.1000 ,     124.5000 ,     124.5000 ,             
Planck_Plik_lite   ,          ,      62.0 ,           ,    1677.5000 ,     127.6000 ,     127.6000 ,             
Planck_Plik_lite   ,          ,      67.0 ,           ,    1842.7000 ,     130.9000 ,     130.9000 ,             
Planck_Plik_lite   ,          ,      72.0 ,           ,    1987.1000 ,     134.5000 ,     134.5000 ,             
Planck_Plik_lite   ,          ,      77.0 ,           ,    1773.1000 ,     138.4000 ,     138.4000 ,             
Planck_Plik_lite   ,          ,      82.0 ,           ,    2175.3999 ,     143.1000 ,     143.1000 ,             
Planck_Plik_lite   ,          ,      87.0 ,           ,    2341.8999 ,     147.5000 ,     147.5000 ,             
Planck_Plik_lite   ,          ,      92.0 ,           ,    2459.5000 ,     152.5000 ,     152.5000 ,             
Planck_Plik_lite   ,          ,      97.0 ,           ,    2488.0000 ,     157.3000 ,     157.3000 ,             
Planck_Plik_lite   ,          ,     104.0 ,           ,    2962.3999 ,     119.7000 ,     119.7000 ,             
Planck_Plik_lite   ,          ,     113.0 ,           ,    3227.5000 ,     126.5000 ,     126.5000 ,             
Planck_Plik_lite   ,          ,     122.0 ,           ,    3388.5000 ,     133.7000 ,     133.7000 ,             
Planck_Plik_lite   ,          ,     131.0 ,           ,    3594.2000 ,     140.7000 ,     140.7000 ,             
Planck_Plik_lite   ,          ,     140.0 ,           ,    4233.3999 ,     147.5000 ,     147.5000 ,             
Planck_Plik_lite   ,          ,     149.0 ,           ,    4256.0000 ,     153.3000 ,     153.3000 ,             
Planck_Plik_lite   ,          ,     158.0 ,           ,    4782.1001 ,     158.8000 ,     158.8000 ,             
Planck_Plik_lite   ,          ,     167.0 ,           ,    4846.0000 ,     163.6000 ,     163.6000 ,             
Planck_Plik_lite   ,          ,     176.0 ,           ,    5127.3999 ,     167.0000 ,     167.0000 ,             
Planck_Plik_lite   ,          ,     185.0 ,           ,    5379.6001 ,     169.2000 ,     169.2000 ,             
Planck_Plik_lite   ,          ,     194.0 ,           ,    5550.7998 ,     170.3000 ,     170.3000 ,             
Planck_Plik_lite   ,          ,     203.0 ,           ,    5449.2998 ,     170.2000 ,     170.2000 ,             
Planck_Plik_lite   ,          ,     212.0 ,           ,    5636.2998 ,     168.5000 ,     168.5000 ,             
Planck_Plik_lite   ,          ,     221.0 ,           ,    5815.2002 ,     165.5000 ,     165.5000 ,             
Planck_Plik_lite   ,          ,     230.0 ,           ,    5689.5000 ,     161.3000 ,     161.3000 ,             
Planck_Plik_lite   ,          ,     239.0 ,           ,    5779.7002 ,     156.2000 ,     156.2000 ,             
Planck_Plik_lite   ,          ,     248.0 ,           ,    5433.7998 ,     150.0000 ,     150.0000 ,             
Planck_Plik_lite   ,          ,     257.0 ,           ,    5230.7998 ,     142.6000 ,     142.6000 ,             
Planck_Plik_lite   ,          ,     266.0 ,           ,    5091.7002 ,     135.0000 ,     135.0000 ,             
Planck_Plik_lite   ,          ,     275.0 ,           ,    5103.3999 ,     126.5000 ,     126.5000 ,             
Planck_Plik_lite   ,          ,     284.0 ,           ,    4548.6001 ,     118.0000 ,     118.0000 ,             
Planck_Plik_lite   ,          ,     293.0 ,           ,    4377.2998 ,     109.1000 ,     109.1000 ,             
