#Results from experiments with detections of B-mode power, l(l+1)C_l/2pi, in uK^2.
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
BICEP1             ,      266 ,     283.0 ,       300 ,              ,              ,              ,        1.058
BICEP1             ,      301 ,     318.0 ,       335 ,              ,              ,              ,        2.886
BOOMERanG          ,      101 ,     150.5 ,       200 ,              ,              ,              ,        6.000
BOOMERanG          ,      201 ,     250.5 ,       300 ,              ,              ,              ,        8.000
BOOMERanG          ,      301 ,     350.5 ,       400 ,              ,              ,              ,       16.900
BOOMERanG          ,      401 ,     450.5 ,       500 ,              ,              ,              ,       16.200
BOOMERanG          ,      501 ,     600.5 ,       700 ,              ,              ,              ,       18.600
BOOMERanG          ,      701 ,     800.5 ,       900 ,              ,              ,              ,       70.100
BOOMERanG          ,      901 ,    1000.5 ,      1100 ,              ,              ,              ,      155.100
CAPMAP             ,      200 ,     350.0 ,       500 ,              ,              ,              ,        5.990
CAPMAP             ,      500 ,     650.0 ,       800 ,              ,              ,              ,       13.780
CAPMAP             ,      800 ,     950.0 ,      1100 ,              ,              ,              ,       26.290
CAPMAP             ,     1100 ,    1250.0 ,      1400 ,              ,              ,              ,       20.160
CAPMAP             ,     1400 ,    1550.0 ,      1700 ,              ,              ,              ,       65.680
CAPMAP             ,     1700 ,    1850.0 ,      2000 ,              ,              ,              ,       93.370
CAPMAP             ,     2000 ,    2500.0 ,      3000 ,              ,              ,              ,       55.550
CBI                ,      330 ,     415.0 ,       500 ,              ,              ,              ,       14.200
CBI                ,      500 ,     600.0 ,       700 ,              ,              ,              ,        5.200
CBI                ,      700 ,     850.0 ,      1000 ,              ,              ,              ,       10.800
CBI                ,     1000 ,    1200.0 ,      1400 ,              ,              ,              ,       21.200
CBI                ,     1400 ,    3200.0 ,      5000 ,              ,              ,              ,       47.800
DASI               ,       28 ,     136.5 ,       245 ,              ,              ,              ,        2.120
DASI               ,      246 ,     333.0 ,       420 ,              ,              ,              ,        6.450
DASI               ,      421 ,     508.5 ,       596 ,              ,              ,              ,       11.400
DASI               ,      597 ,     684.5 ,       772 ,              ,              ,              ,       16.400
DASI               ,      773 ,     911.5 ,      1050 ,              ,              ,              ,       49.300
MAXIPOL            ,      151 ,     422.0 ,       693 ,              ,              ,              ,       90.250
Planck             ,        2 ,         4 ,         7 ,              ,              ,              ,        0.0438
Planck             ,        8 ,        15 ,        23 ,              ,              ,              ,        0.0066
Planck             ,       24 ,        36 ,        49 ,              ,              ,              ,        0.0141
Planck             ,       50 ,        69 ,        89 ,              ,              ,              ,        0.0232
Planck             ,       90 ,       107 ,       124 ,              ,              ,              ,        0.0352
Planck             ,      125 ,       159 ,       194 ,              ,              ,              ,        0.0579
Planck             ,      195 ,       229 ,       264 ,              ,              ,              ,        0.0759
Planck             ,      265 ,       357 ,       449 ,              ,              ,              ,        0.1021
POLARBEAR_2019     ,       50 ,      81.5 ,       100 ,              ,              ,              ,        0.095
POLARBEAR_2019     ,      100 ,     125.6 ,       150 ,              ,              ,              ,        0.104
POLARBEAR_2019     ,      150 ,     175.1 ,       200 ,              ,              ,              ,        0.115
POLARBEAR_2019     ,      200 ,     224.8 ,       250 ,              ,              ,              ,        0.161
POLARBEAR_2019     ,      250 ,     274.4 ,       300 ,              ,              ,              ,        0.151
POLARBEAR_2019     ,      300 ,     324.8 ,       350 ,              ,              ,              ,        0.255
POLARBEAR_2019     ,      400 ,     425.0 ,       450 ,              ,              ,              ,        0.435
POLARBEAR_2019     ,      450 ,     474.8 ,       500 ,              ,              ,              ,        0.456
POLARBEAR_2019     ,      500 ,     524.7 ,       550 ,              ,              ,              ,        0.591
POLARBEAR_2019     ,      550 ,     574.7 ,       600 ,              ,              ,              ,        0.615
QUaD               ,      164 ,     204.0 ,       244 ,              ,              ,              ,        0.852
QUaD               ,      245 ,     285.0 ,       325 ,              ,              ,              ,        0.881
QUaD               ,      326 ,     366.0 ,       406 ,              ,              ,              ,        2.189
QUaD               ,      407 ,     447.0 ,       487 ,              ,              ,              ,        1.978
QUaD               ,      488 ,     528.0 ,       568 ,              ,              ,              ,        1.395
QUaD               ,      569 ,     609.0 ,       649 ,              ,              ,              ,        2.447
QUaD               ,      650 ,     690.0 ,       730 ,              ,              ,              ,        3.714
QUaD               ,      731 ,     771.0 ,       811 ,              ,              ,              ,        2.422
QUaD               ,      812 ,     852.0 ,       892 ,              ,              ,              ,        4.637
QUaD               ,      893 ,     933.0 ,       973 ,              ,              ,              ,        4.728
QUaD               ,      974 ,    1014.0 ,      1054 ,              ,              ,              ,        4.115
QUaD               ,     1055 ,    1095.0 ,      1135 ,              ,              ,              ,        5.217
QUaD               ,     1136 ,    1176.0 ,      1216 ,              ,              ,              ,        5.545
QUaD               ,     1217 ,    1257.0 ,      1297 ,              ,              ,              ,       10.349
QUaD               ,     1298 ,    1338.0 ,      1378 ,              ,              ,              ,        8.195
QUaD               ,     1379 ,    1419.0 ,      1459 ,              ,              ,              ,       13.494
QUaD               ,     1460 ,    1500.0 ,      1540 ,              ,              ,              ,       10.711
QUaD               ,     1541 ,    1581.0 ,      1621 ,              ,              ,              ,       18.845
QUaD               ,     1622 ,    1662.0 ,      1702 ,              ,              ,              ,       14.290
QUaD               ,     1703 ,    1743.0 ,      1783 ,              ,              ,              ,       30.891
QUaD               ,     1784 ,    1824.0 ,      1864 ,              ,              ,              ,       17.372
QUaD               ,     1865 ,    1905.0 ,      1945 ,              ,              ,              ,       21.226
QUaD               ,     1946 ,    1986.0 ,      2026 ,              ,              ,              ,       22.250
QUIET-Q            ,       25 ,      50.0 ,        75 ,              ,              ,              ,        0.110
QUIET-Q            ,       76 ,     100.5 ,       125 ,              ,              ,              ,        0.290
QUIET-Q            ,      126 ,     150.5 ,       175 ,              ,              ,              ,        0.730
QUIET-Q            ,      176 ,     200.5 ,       225 ,              ,              ,              ,        1.550
QUIET-Q            ,      226 ,     250.5 ,       275 ,              ,              ,              ,        2.750
QUIET-Q            ,      276 ,     300.5 ,       325 ,              ,              ,              ,        3.500
QUIET-Q            ,      326 ,     350.5 ,       375 ,              ,              ,              ,        2.400
QUIET-Q            ,      376 ,     400.5 ,       425 ,              ,              ,              ,        4.200
QUIET-Q            ,      426 ,     450.5 ,       475 ,              ,              ,              ,       20.900
