#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
SPTpol_2017        ,          ,    1024.5 ,           ,     -64.4000 ,       7.4000 ,       7.4000 ,             
SPTpol_2017        ,          ,    1074.5 ,           ,     -69.7000 ,       6.4000 ,       6.4000 ,             
SPTpol_2017        ,          ,    1124.5 ,           ,     -49.2000 ,       5.0000 ,       5.0000 ,             
SPTpol_2017        ,          ,    1174.5 ,           ,     -14.7000 ,       4.0000 ,       4.0000 ,             
SPTpol_2017        ,          ,    1224.5 ,           ,      12.5000 ,       4.3000 ,       4.3000 ,             
SPTpol_2017        ,          ,    1274.5 ,           ,     -19.0000 ,       4.4000 ,       4.4000 ,             
SPTpol_2017        ,          ,    1324.5 ,           ,     -46.8000 ,       4.7000 ,       4.7000 ,             
SPTpol_2017        ,          ,    1374.5 ,           ,     -54.8000 ,       4.0000 ,       4.0000 ,             
SPTpol_2017        ,          ,    1424.5 ,           ,     -39.3000 ,       3.4000 ,       3.4000 ,             
SPTpol_2017        ,          ,    1474.5 ,           ,     -10.8000 ,       2.9000 ,       2.9000 ,             
SPTpol_2017        ,          ,    1524.5 ,           ,       4.3000 ,       2.8000 ,       2.8000 ,             
SPTpol_2017        ,          ,    1574.5 ,           ,       4.3000 ,       2.5000 ,       2.5000 ,             
SPTpol_2017        ,          ,    1624.4 ,           ,     -13.7000 ,       2.8000 ,       2.8000 ,             
SPTpol_2017        ,          ,    1674.5 ,           ,     -27.1000 ,       2.5000 ,       2.5000 ,             
SPTpol_2017        ,          ,    1724.5 ,           ,     -25.0000 ,       2.1000 ,       2.1000 ,             
SPTpol_2017        ,          ,    1774.4 ,           ,     -13.6000 ,       1.8000 ,       1.8000 ,             
SPTpol_2017        ,          ,    1824.5 ,           ,      -6.5000 ,       1.6000 ,       1.6000 ,             
SPTpol_2017        ,          ,    1874.5 ,           ,      -1.2000 ,       1.7000 ,       1.7000 ,             
SPTpol_2017        ,          ,    1924.5 ,           ,     -13.7000 ,       1.6000 ,       1.6000 ,             
SPTpol_2017        ,          ,    1974.5 ,           ,     -19.5000 ,       1.6000 ,       1.6000 ,             
SPTpol_2017        ,          ,    2049.5 ,           ,     -15.3000 ,       1.0000 ,       1.0000 ,             
SPTpol_2017        ,          ,    2149.5 ,           ,      -4.0000 ,       0.8000 ,       0.8000 ,             
SPTpol_2017        ,          ,    2249.5 ,           ,      -4.8000 ,       0.8000 ,       0.8000 ,             
SPTpol_2017        ,          ,    2349.5 ,           ,      -7.5000 ,       0.7000 ,       0.7000 ,             
SPTpol_2017        ,          ,    2449.5 ,           ,      -1.9000 ,       0.6000 ,       0.6000 ,             
SPTpol_2017        ,          ,    2549.5 ,           ,      -3.0000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2649.5 ,           ,      -4.8000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2749.5 ,           ,      -1.8000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2849.5 ,           ,      -1.9000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2949.5 ,           ,      -2.2000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    3249.5 ,           ,      -0.4000 ,       0.2000 ,       0.2000 ,             
SPTpol_2017        ,          ,    3749.5 ,           ,      -0.7000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    4249.5 ,           ,      -0.0000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    4749.5 ,           ,       0.1000 ,       0.4000 ,       0.4000 ,             
SPTpol_2017        ,          ,    5499.5 ,           ,      -0.4000 ,       0.4000 ,       0.4000 ,             
SPTpol_2017        ,          ,    6499.5 ,           ,       0.5000 ,       0.7000 ,       0.7000 ,             
SPTpol_2017        ,          ,    7499.5 ,           ,      -0.0000 ,       1.0000 ,       1.0000 ,             
SPT-3G_2021        ,          ,     326.0 ,           ,     103.7000 ,      11.3000 ,      11.3000 ,             
SPT-3G_2021        ,          ,     376.0 ,           ,      39.8000 ,       8.4000 ,       8.4000 ,             
SPT-3G_2021        ,          ,     426.0 ,           ,     -47.8000 ,       7.0000 ,       7.0000 ,             
SPT-3G_2021        ,          ,     475.0 ,           ,     -72.1000 ,       6.0000 ,       6.0000 ,             
SPT-3G_2021        ,          ,     523.0 ,           ,     -35.1000 ,       4.7000 ,       4.7000 ,             
SPT-3G_2021        ,          ,     574.0 ,           ,      10.2000 ,       5.6000 ,       5.6000 ,             
SPT-3G_2021        ,          ,     625.0 ,           ,      23.6000 ,       6.6000 ,       6.6000 ,             
SPT-3G_2021        ,          ,     675.0 ,           ,     -63.7000 ,       7.3000 ,       7.3000 ,             
SPT-3G_2021        ,          ,     725.0 ,           ,    -120.8000 ,       6.8000 ,       6.8000 ,             
SPT-3G_2021        ,          ,     774.0 ,           ,    -121.2000 ,       6.6000 ,       6.6000 ,             
SPT-3G_2021        ,          ,     824.0 ,           ,     -49.2000 ,       4.7000 ,       4.7000 ,             
SPT-3G_2021        ,          ,     874.0 ,           ,      38.0000 ,       5.0000 ,       5.0000 ,             
SPT-3G_2021        ,          ,     924.0 ,           ,      56.6000 ,       4.9000 ,       4.9000 ,             
SPT-3G_2021        ,          ,     974.0 ,           ,      13.3000 ,       4.8000 ,       4.8000 ,             
SPT-3G_2021        ,          ,    1024.0 ,           ,     -52.3000 ,       5.2000 ,       5.2000 ,             
SPT-3G_2021        ,          ,    1075.0 ,           ,     -74.0000 ,       4.7000 ,       4.7000 ,             
SPT-3G_2021        ,          ,    1124.0 ,           ,     -54.2000 ,       3.8000 ,       3.8000 ,             
SPT-3G_2021        ,          ,    1174.0 ,           ,     -10.0000 ,       3.3000 ,       3.3000 ,             
SPT-3G_2021        ,          ,    1224.0 ,           ,       4.4000 ,       3.3000 ,       3.3000 ,             
SPT-3G_2021        ,          ,    1274.0 ,           ,     -15.9000 ,       3.3000 ,       3.3000 ,             
SPT-3G_2021        ,          ,    1324.0 ,           ,     -47.8000 ,       3.4000 ,       3.4000 ,             
SPT-3G_2021        ,          ,    1374.0 ,           ,     -61.7000 ,       3.4000 ,       3.4000 ,             
SPT-3G_2021        ,          ,    1424.0 ,           ,     -42.0000 ,       3.0000 ,       3.0000 ,             
SPT-3G_2021        ,          ,    1474.0 ,           ,     -11.9000 ,       2.7000 ,       2.7000 ,             
SPT-3G_2021        ,          ,    1524.0 ,           ,       9.1000 ,       2.5000 ,       2.5000 ,             
SPT-3G_2021        ,          ,    1574.0 ,           ,      -0.4000 ,       2.5000 ,       2.5000 ,             
SPT-3G_2021        ,          ,    1624.0 ,           ,     -14.7000 ,       2.4000 ,       2.4000 ,             
SPT-3G_2021        ,          ,    1674.0 ,           ,     -32.4000 ,       2.2000 ,       2.2000 ,             
SPT-3G_2021        ,          ,    1724.0 ,           ,     -24.9000 ,       2.2000 ,       2.2000 ,             
SPT-3G_2021        ,          ,    1775.0 ,           ,     -15.2000 ,       2.0000 ,       2.0000 ,             
SPT-3G_2021        ,          ,    1824.0 ,           ,      -9.4000 ,       1.9000 ,       1.9000 ,             
SPT-3G_2021        ,          ,    1874.0 ,           ,      -3.5000 ,       1.9000 ,       1.9000 ,             
SPT-3G_2021        ,          ,    1924.0 ,           ,     -11.3000 ,       1.8000 ,       1.8000 ,             
SPT-3G_2021        ,          ,    1975.0 ,           ,     -16.3000 ,       1.8000 ,       1.8000 ,             
SPT-3G_2021        ,          ,    2050.0 ,           ,     -14.2000 ,       0.9000 ,       0.9000 ,             
SPT-3G_2021        ,          ,    2151.0 ,           ,      -4.8000 ,       0.9000 ,       0.9000 ,             
SPT-3G_2021        ,          ,    2250.0 ,           ,      -5.6000 ,       0.8000 ,       0.8000 ,             
