#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_2018        ,          ,       8.0 ,           ,       0.0100 ,       0.0090 ,       0.0090 ,             
Planck_2018        ,          ,       9.0 ,           ,       0.0130 ,       0.0110 ,       0.0110 ,             
Planck_2018        ,          ,      10.0 ,           ,      -0.0010 ,       0.0100 ,       0.0100 ,             
Planck_2018        ,          ,      11.0 ,           ,      -0.0010 ,       0.0100 ,       0.0100 ,             
Planck_2018        ,          ,      12.0 ,           ,      -0.0060 ,       0.0100 ,       0.0100 ,             
Planck_2018        ,          ,      13.0 ,           ,       0.0080 ,       0.0110 ,       0.0110 ,             
Planck_2018        ,          ,      14.0 ,           ,      -0.0000 ,       0.0120 ,       0.0120 ,             
Planck_2018        ,          ,      15.0 ,           ,       0.0000 ,       0.0120 ,       0.0120 ,             
Planck_2018        ,          ,      16.0 ,           ,       0.0060 ,       0.0130 ,       0.0130 ,             
Planck_2018        ,          ,      17.0 ,           ,       0.0120 ,       0.0130 ,       0.0130 ,             
Planck_2018        ,          ,      18.0 ,           ,       0.0180 ,       0.0150 ,       0.0150 ,             
Planck_2018        ,          ,      19.0 ,           ,       0.0000 ,       0.0150 ,       0.0150 ,             
Planck_2018        ,          ,      20.0 ,           ,      -0.0060 ,       0.0150 ,       0.0150 ,             
Planck_2018        ,          ,      21.0 ,           ,       0.0330 ,       0.0170 ,       0.0170 ,             
Planck_2018        ,          ,      22.0 ,           ,       0.0000 ,       0.0170 ,       0.0170 ,             
Planck_2018        ,          ,      23.0 ,           ,       0.0410 ,       0.0180 ,       0.0180 ,             
Planck_2018        ,          ,      24.0 ,           ,       0.0360 ,       0.0200 ,       0.0200 ,             
Planck_2018        ,          ,      25.0 ,           ,       0.0410 ,       0.0210 ,       0.0210 ,             
Planck_2018        ,          ,      26.0 ,           ,      -0.0040 ,       0.0210 ,       0.0210 ,             
Planck_2018        ,          ,      27.0 ,           ,       0.0500 ,       0.0210 ,       0.0210 ,             
Planck_2018        ,          ,      28.0 ,           ,       0.0310 ,       0.0230 ,       0.0230 ,             
